page,image_url,alt,width,height
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/09/31-optimized.jpg,,800,1200
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/06/111_7_11zon-scaled.webp,,2560,1920
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/09/tpu-color-ppf-stand-out-with-color-banner-1.jpg,"TPU colour-shift paint protection film banner: 180-degree colour PPF, imported material",1920,649
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/09/become-a-ppf-dealer-platinum-ppf-banner.jpg,Become a Platinum PPF dealer banner: join our paint protection film distributor network,1920,649
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/09/paint-protection-film-layer-structure-diagram.jpg,"Paint protection film layer structure: top-coat, TPU film, and adhesive layers with self-healing and hydrophobic properties",1920,649
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/09/platinum-window-tint-film-percentage-options-banner.jpg,"Platinum window film tint percentage options: 70%, 50%, 35%, 20%, 5%",1920,649
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/06/1-1-150x150.webp,,150,150
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/06/2-1-150x150.webp,,150,150
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/06/4-1-150x150.webp,,150,150
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/06/5-2-150x150.webp,,150,150
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/06/6-2-150x150.webp,,150,150
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/06/7-1-150x150.webp,,150,150
https://platinumcarfilms.com/,https://platinumcarfilms.com/wp-content/uploads/2026/06/3-1-150x150.webp,,150,150
https://platinumcarfilms.com/190-micron-ppf/,https://platinumcarfilms.com/wp-content/uploads/2026/05/11_edited-scaled.webp,,2048,2560
https://platinumcarfilms.com/190-micron-ppf/,https://platinumcarfilms.com/wp-content/uploads/2026/05/TPU-Acid-Green-scaled.webp,,2560,1440
https://platinumcarfilms.com/210-paint-protection-film/,https://platinumcarfilms.com/wp-content/uploads/2026/05/Platinum-210-Paint-Protection-Film-Professional-Grade-Defense-for-Your-Vehicle.png,Platinum 210 Paint Protection Film Professional-Grade Defense for Your Vehicle,1116,1396
https://platinumcarfilms.com/210-paint-protection-film/,https://platinumcarfilms.com/wp-content/uploads/2026/05/69.webp,,1080,1080
https://platinumcarfilms.com/about-us/,https://platinumcarfilms.com/wp-content/uploads/2026/05/31.webp,,1080,1080
https://platinumcarfilms.com/blog/,https://platinumcarfilms.com/wp-content/uploads/2026/05/42-1024x1024.webp,,1024,1024
https://platinumcarfilms.com/blog/how-long-does-paint-protection-film-last/,https://secure.gravatar.com/avatar/30adbfacead82126cc20e720781eb7be6e6cd56c9e008b740b833e3cab561cf7?s=22&d=mm&r=g,author-avatar,22,22
https://platinumcarfilms.com/blog/how-long-does-paint-protection-film-last/,https://platinumcarfilms.com/wp-content/uploads/2026/05/42.webp,,1080,1080
https://platinumcarfilms.com/color-ppf-for-car/,https://platinumcarfilms.com/wp-content/uploads/2026/06/Gemini_Generated_Image_lwl09dlwl09dlwl0.jpg,,1406,1667
https://platinumcarfilms.com/color-ppf-for-car/,https://platinumcarfilms.com/wp-content/uploads/2026/06/sl3.jpeg,,980,687
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/11_edited-scaled-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/12-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/13-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/14-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/15-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/16-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/17-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/18-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/21-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/23-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/24-354x236.webp,,354,236
https://platinumcarfilms.com/gallery/,https://platinumcarfilms.com/wp-content/uploads/2026/05/25-354x236.webp,,354,236
